cat,subcat,y,y_fcst,MSE,MAPE
Total Sales,Total Sales,"[98898.53000000001, 107866.38000000005, 140520.2, 114686.15999999997, 161469.7, 195443.97, 123390.44000000002, 217082.94999999998, 270821.8300000001, 224207.42999999985, 292550.6600000001, 322520.04999999993, 139060.14, 91136.47999999995, 159675.47000000006, 164190.46999999997, 213758.60000000006, 249675.42000000004, 155086.58000000005, 296343.56, 298700.31999999995, 249986.04000000007, 327136.53, 332052.7900000001, 193120.9, 163935.81000000006, 198594.1399999999, 177821.44000000012, 260498.63000000012, 396519.75999999966, 229928.91999999998, 326488.93999999994, 376619.50999999995, 293406.77, 373989.56999999995, 405454.4899999997, 241268.65, 184837.45999999996, 263100.83000000025, 242772.0099999999, 288401.1300000002, 401814.18999999994, 258705.80000000005, 456620.18000000017, 481157.4100000001, 422766.8500000002, 555279.3000000003, 503143.86, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 259194.0, 248014.0, 229069.0, 245131.0, 314785.0, 371430.0, 278832.0, 376950.0, 499178.0, 390652.0, 511913.0, 576926.0, 342397.0, 257629.0, 282270.0, 346123.0, 355153.0, 469957.0, 350538.0, 471638.0, 637127.0, 547447.0, 642207.0, 715826.0, 455004.0, 330560.0, 340193.0, 443009.0, 445017.0, 578841.0, 466743.0, 569135.0, 795507.0, 725450.0, 792667.0, 910636.0]",0.148036969,10.94
Furniture,Total Sales,"[34463.740000000005, 38291.34, 37963.06000000001, 34432.399999999994, 50864.71, 71568.1, 33698.770000000004, 73231.83, 86386.48, 82284.73, 95945.53999999996, 118211.51000000001, 43061.74000000001, 37916.819999999985, 53242.6, 55421.90999999999, 66721.52999999998, 78752.84000000001, 41110.93999999999, 84732.36999999998, 100895.27000000002, 81346.04, 125113.87000000002, 94443.17, 77993.48, 57734.270000000004, 65323.31999999999, 54587.01, 74370.85999999999, 115250.60999999997, 71853.89000000003, 112296.00999999998, 127700.74, 89318.60000000002, 122802.73999999999, 143203.10000000003, 69799.48, 57702.83000000001, 89705.40000000001, 70550.84999999999, 98312.08000000002, 136123.17, 82344.33000000002, 126283.9, 175776.68000000005, 130701.28, 168848.72, 171768.37, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 114060.0, 87077.0, 73570.0, 65644.0, 100663.0, 125528.0, 87237.0, 127040.0, 141093.0, 148058.0, 170676.0, 172336.0, 135587.0, 111984.0, 93886.0, 98482.0, 123720.0, 155008.0, 121515.0, 152768.0, 178466.0, 196539.0, 210196.0, 222378.0, 181296.0, 137388.0, 115343.0, 132949.0, 151107.0, 194216.0, 167267.0, 186422.0, 224025.0, 263098.0, 259932.0, 284468.0]",0.428887066,15.87
Furniture,Bookcases,"[13401.999999999998, 15019.529999999999, 8975.469999999998, 6125.29, 16604.39, 24964.100000000002, 9314.35, 25849.099999999995, 35445.46000000001, 26526.430000000004, 39165.350000000006, 38457.270000000004, 16568.52, 13412.79, 19506.76, 16175.07, 31620.640000000003, 27475.260000000002, 12518.77, 36518.950000000004, 39037.53999999999, 30702.81, 40165.37, 38954.56, 27404.470000000005, 16655.7, 21750.69, 16594.969999999998, 17765.190000000002, 32511.93, 23720.059999999998, 41399.91999999999, 53450.10999999999, 34164.85, 41279.14, 44172.909999999996, 15651.029999999999, 26045.28, 32996.64, 31500.680000000004, 29909.260000000002, 52796.170000000006, 39702.19999999999, 50922.75999999999, 72777.36, 51030.8, 55939.479999999996, 53925.17, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 40204.0, 1530.0, 22738.0, 21593.0, 39377.0, 30721.0, 37798.0, 47159.0, 61293.0, 61877.0, 52811.0, 58703.0, 44560.0, 6809.0, 25999.0, 27187.0, 46344.0, 33106.0, 41557.0, 47678.0, 68225.0, 73029.0, 58932.0, 65612.0, 51673.0, 7444.0, 29331.0, 31062.0, 53295.0, 36817.0, 46957.0, 54181.0, 76935.0, 85877.0, 66689.0, 73937.0]",0.563723266,37.56
Furniture,Furnishings,"[2415.0800000000004, 4331.630000000001, 3513.07, 5892.0599999999995, 3648.6799999999994, 4893.110000000001, 3113.4, 5516.8099999999995, 8776.820000000002, 6948.620000000001, 8221.570000000002, 6554.66, 6017.07, 4369.0, 4513.13, 5669.240000000002, 5029.26, 10190.53, 5928.669999999999, 6757.5199999999995, 8082.99, 4700.21, 12643.0, 7846.59, 5138.7699999999995, 5833.2699999999995, 5699.060000000001, 4594.2300000000005, 7761.710000000001, 12741.539999999999, 7186.49, 8868.439999999999, 14224.349999999999, 9734.819999999996, 14375.41, 15543.879999999997, 7934.26, 5128.56, 7550.550000000001, 7952.680000000001, 7428.24, 11128.269999999999, 9501.310000000001, 11303.65, 15305.96, 9957.77, 18162.34, 16527.87, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11031.0, 9534.0, 8430.0, 2026.0, 9865.0, 12391.0, 6049.0, 10187.0, 15905.0, 8772.0, 13242.0, 20512.0, 11899.0, 12039.0, 8277.0, 9206.0, 12507.0, 15876.0, 10026.0, 15062.0, 20808.0, 15352.0, 18474.0, 26673.0, 18360.0, 15483.0, 10973.0, 12853.0, 17115.0, 20189.0, 16130.0, 20189.0, 28598.0, 23830.0, 23962.0, 37634.0]",0.290311713,30.71
Furniture,Tables,"[7356.720000000001, 4700.04, 7628.03, 3823.58, 13410.750000000002, 20475.78, 4846.79, 12890.880000000001, 13041.95, 14728.919999999998, 14626.190000000002, 29780.18, 9496.45, 6885.41, 16170.539999999999, 17749.78, 7386.71, 18675.12, 3471.51, 10851.02, 20756.66, 14639.380000000001, 20345.89, 17479.809999999998, 22282.3, 18486.149999999998, 7143.620000000001, 6135.84, 14530.31, 25052.15, 7670.7699999999995, 22065.98, 13204.24, 8584.56, 19523.27, 37684.409999999996, 12904.76, 3712.5099999999998, 16232.320000000002, 13496.780000000002, 20841.06, 26713.58, 11510.420000000002, 22729.760000000002, 27087.04, 25356.059999999998, 29377.879999999997, 33498.31, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 34991.0, 12923.0, 19008.0, 15309.0, 8863.0, 29343.0, 15184.0, 16429.0, 35344.0, 24777.0, 34352.0, 31637.0, 28460.0, 22640.0, 18878.0, 14836.0, 12801.0, 26824.0, 21244.0, 20164.0, 34030.0, 37427.0, 34764.0, 38273.0, 36807.0, 24900.0, 19120.0, 19221.0, 16494.0, 34221.0, 28710.0, 25051.0, 42080.0, 48859.0, 44251.0, 47758.0]",0.248388845,52.66
Furniture,Chairs,"[11289.94, 14240.14, 17846.490000000005, 18591.47, 17200.89, 21235.11, 16424.23, 28975.04, 29122.250000000004, 34080.76, 33932.43000000001, 43419.40000000001, 10979.7, 13249.620000000003, 13052.17, 15827.82, 22684.920000000002, 22411.93, 19191.989999999998, 30604.880000000005, 33018.08, 31303.64, 51959.60999999999, 30162.21, 23167.94, 16759.15, 30729.95, 27261.97, 34313.649999999994, 44944.990000000005, 33276.57, 39961.67, 46822.04, 36834.37, 47624.92, 45801.9, 33309.42999999999, 22816.48, 32925.89, 17600.710000000003, 40133.52, 45485.15, 21630.399999999998, 41327.73, 60606.319999999985, 44356.65, 65369.020000000004, 67817.02, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 34176.0, 33447.0, 28028.0, 31345.0, 28098.0, 50245.0, 33426.0, 33065.0, 30505.0, 48008.0, 58394.0, 54231.0, 47379.0, 56044.0, 41111.0, 38486.0, 40993.0, 65734.0, 48840.0, 42849.0, 44506.0, 72873.0, 78735.0, 78663.0, 72959.0, 78414.0, 54379.0, 55940.0, 54408.0, 90260.0, 73587.0, 56731.0, 67912.0, 109639.0, 107947.0, 118922.0]",0.969407426,28.81
Office Supplies,Total Sales,"[33526.77999999999, 26584.859999999997, 32846.72, 47050.929999999986, 50445.56, 58016.27, 44969.979999999996, 60492.61, 95619.14999999997, 57162.68999999999, 88628.29000000004, 85269.65000000002, 45321.28, 21905.39999999999, 53227.13999999999, 46318.40000000002, 61662.590000000004, 72902.96, 53751.33, 92257.41999999998, 79355.59999999999, 61973.11999999997, 97062.19999999998, 106221.36000000002, 65066.590000000004, 49788.86, 62007.93000000001, 55765.77, 74756.04000000002, 111488.64000000003, 70291.07999999997, 93149.85999999993, 110761.79999999996, 77392.89000000004, 110735.93999999997, 127926.30000000003, 76653.99999999999, 55184.12000000001, 77576.29, 81371.96, 97974.96999999999, 120340.02999999998, 76971.46, 155430.89000000004, 134386.6, 115771.01000000007, 163851.48999999996, 150278.65, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 76245.0, 69521.0, 55277.0, 57761.0, 111875.0, 120282.0, 92932.0, 114490.0, 154546.0, 112209.0, 157576.0, 173225.0, 112338.0, 77708.0, 91176.0, 90290.0, 133756.0, 157225.0, 109321.0, 131753.0, 211854.0, 160629.0, 191709.0, 200712.0, 146550.0, 95986.0, 100383.0, 112435.0, 162662.0, 196009.0, 145088.0, 163525.0, 269716.0, 203932.0, 237533.0, 255018.0]",0.44088277,15.23
Office Supplies,Appliances,"[5770.429999999999, 5095.07, 9396.93, 14516.720000000001, 13360.980000000001, 16990.420000000002, 7227.81, 11518.329999999998, 32584.510000000006, 11655.090000000002, 29564.870000000003, 18430.849999999995, 13519.960000000001, 2115.62, 9593.62, 10298.090000000002, 21264.309999999994, 16853.739999999998, 16207.919999999998, 28075.969999999994, 19273.320000000003, 16957.74, 27030.0, 39169.4, 21607.33, 14566.769999999999, 15978.370000000003, 16056.349999999999, 18792.300000000003, 39253.920000000006, 16459.64, 19117.86, 22304.39, 23929.789999999997, 22976.810000000005, 23450.85, 18843.74, 17527.11, 18356.59, 21475.050000000003, 26557.989999999998, 26920.039999999997, 27050.499999999996, 50537.119999999995, 25192.520000000004, 31273.16, 46568.34999999999, 49267.50999999999, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22187.0, 15298.0, 12107.0, 17045.0, 22529.0, 22299.0, 16966.0, 17120.0, 30811.0, 17128.0, 27034.0, 47907.0, 21916.0, 16749.0, 26982.0, 24072.0, 30763.0, 51161.0, 18423.0, 30972.0, 37378.0, 21754.0, 38500.0, 63421.0, 21513.0, 13221.0, 27109.0, 27947.0, 31475.0, 56822.0, 21245.0, 35679.0, 42964.0, 23341.0, 43384.0, 73016.0]",0.369027291,27.76
Office Supplies,Binders,"[2517.37, 2570.6299999999997, 4300.9400000000005, 3288.9600000000005, 6940.020000000001, 7603.890000000001, 5849.59, 10581.440000000002, 15421.899999999998, 4534.07, 13048.46, 10434.79, 3480.75, 4079.68, 11862.32, 6835.740000000001, 4565.7699999999995, 10706.060000000001, 4997.58, 8613.73, 9297.83, 6004.869999999999, 11218.56, 11664.3, 6349.530000000001, 4622.43, 5455.370000000001, 6619.349999999999, 8010.450000000001, 10561.17, 6645.64, 9279.460000000001, 16242.619999999997, 10950.839999999998, 11831.27, 24471.829999999998, 13480.529999999999, 4505.320000000001, 7143.12, 11351.560000000001, 9179.589999999998, 12253.579999999998, 5108.080000000001, 25121.480000000007, 21380.629999999997, 17932.95, 16917.210000000003, 16036.83, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 25013.0, 12952.0, 11012.0, 16647.0, 11591.0, 8575.0, 11217.0, 4232.0, 25565.0, 8509.0, 20271.0, 22300.0, 27328.0, 16436.0, 9549.0, 13007.0, 18431.0, 9491.0, 12277.0, 8014.0, 31382.0, 18467.0, 29176.0, 30252.0, 33973.0, 23205.0, 12147.0, 16203.0, 22536.0, 12121.0, 16148.0, 9407.0, 40824.0, 26092.0, 36847.0, 37058.0]",1.238468829,63.66
Office Supplies,Envelopes,"[1627.2000000000003, 803.1300000000001, 1416.56, 2431.06, 1712.2600000000002, 2339.06, 1820.36, 3577.3599999999997, 3068.96, 1943.36, 3877.49, 2676.15, 1711.2000000000003, 1398.68, 1342.03, 3129.3800000000006, 2814.97, 4296.759999999999, 3126.7200000000003, 2707.0, 5249.209999999998, 3650.23, 4201.66, 4060.01, 2421.39, 2225.6600000000003, 3581.5400000000004, 1924.58, 3416.96, 5139.71, 2784.48, 6925.500000000001, 7714.08, 3145.2700000000004, 5381.300000000001, 5819.1, 3333.96, 1738.0400000000002, 4807.75, 2759.3600000000006, 4795.500000000001, 5450.599999999999, 2237.38, 4360.329999999999, 4817.719999999999, 6618.08, 6279.679999999999, 6558.809999999999, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1171.0, 5785.0, 2460.0, 2575.0, 5797.0, 7872.0, 1034.0, 7026.0, 6027.0, 665.0, 7886.0, 6523.0, 4372.0, 7549.0, 4598.0, 3796.0, 5200.0, 9286.0, 5145.0, 7977.0, 8306.0, 5612.0, 9784.0, 8235.0, 6249.0, 10624.0, 5618.0, 5914.0, 7060.0, 11733.0, 7824.0, 9733.0, 10692.0, 7342.0, 12797.0, 11015.0]",0.385359704,56.22
