Brand,Category,Review,Stars,review_rating
Apple,Technology,"
I have many equipment from apple. I would say it is great.
            ",5.0,POSITIVE
Apple,Technology,"
We’re a family of Apple products. Just like the simplicity of the iOS system. Never had any issues with any of their phones nor did I expect too if I’m honest.  I did try a Samsung once but sent it back, it just didn’t have the same smoothness of the operating system. That was important to me.
            ",5.0,POSITIVE
Apple,Technology,"
Ordered a Mac mini that when hooked to my Samsung 4K tv would work fine then the screen would turn black then come back on. Called talked to the tech guy and with no run around we both agreed it must be a defective graphics card. He suggested I request a replacement which I did.  Was on the phone a total of 10 minutes between the tech and sales guys. I received the defective unit on Tuesday shipped it back to Apple on Wednesday and received my brand new flawless Mac mini on Friday. Completely amazed at the speed at which they work. Thank you to all involved in resolving my issue so fast. I’m amazed. They even shipped the replacement before they received my return. And I can tell you coming from a 2012 Mac mini to the new model I am completely amazed. It wasn’t cheap but it is well worth the money. Side note I just upgraded from an iPhone 6 Plus to an iPhone 11 and once again I was blown away.  Have never been disappointed with any of my apple products or the price for what you get.
            ",5.0,POSITIVE
Apple,Technology,"
So me and my family turned from Samsung to Apple and now we have Apple TV iMacs MacBooks iPhones watches and iPads. We are very happy for this change and still get more apple products. Apple is not bad at all what people say on this platform. I will never change back! Best brand ever!
            ",5.0,POSITIVE
Apple,Technology,"
Thank you for helping me fix my Iphone! I contacted the Apple support and the staff assist me very well. Also, the staff is very polite and friendly.
            ",5.0,POSITIVE
Apple,Technology,"
Nice phone but the battery drains fast might go back to my Xs phone please fix battery drain
            ",5.0,POSITIVE
Apple,Technology,"
I have never been a fan of Apple. But when I bought MacBook it was a blessing! It you use note for a work, not simple browsing and movie watching, but working, there is no better thing than MacBook. Touchpad and operation system is WOW so good. Not a fan of iPhone because they are too expensive and difference with android is not so great
            ",5.0,POSITIVE
Apple,Technology,"
In the UK, recently bought a new IMac, for developmant work and it is worth every penny! Then recently i upgraded my ipad, to Ipad Pro, and i must say im speechless! I am now getting rid of my laptop now as i have no need for it! Laptops for the past and Ipads and tablets are the Future!   Thanks Apple!
            ",5.0,POSITIVE
Apple,Technology,"
They got my phone fast and great condition (NEW)!!!!
            ",5.0,POSITIVE
Apple,Technology,"
This review is specifically for their online chat customer service.  Can’t fault them at all, so helpful
            ",5.0,POSITIVE
Apple,Technology,"
Just got a refurbished MacBook Pro and it's the best out there! Great saving and perfect quality
            ",5.0,POSITIVE
