,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                -Worst customers services ever. I placed an order online, then later realize that I had brought it too expensive and other places online was 50 to 70 dollars Off difference. I send them an email to cancel which they never responded. I called the next day the customer service told me that it will be cancel this was 11a.m in Maryland this company is Los Angeles. At 8:08pm I received an email saying that  my order was shipped. It was late I called next day in the morning and they did not stopped/ cancel the shipping when It was showing that the item was still at there facility only a label has been  Create it. This is a frustration it’s not worth it worst customer service ever stay away from this place if you don’t want to headache. I am still Fighting for my money to be refund.
            </p>"
1,3 stars: Average,"<p class=""review-content__text"">
                Make no mistake, this is a great coffee maker. The ability of choose your own settings, flow rate, bloom time, water temp, all make for a great cup of coffee. But for $300, I would think they've worked out the mechanical kinks. We've already sent our thermal brew pot back once, because of coffee leaking down the machine and pooling on the counter. The new one has a similar problem, and coffee pools under the pot. We are constantly mopping up drips and trails of coffee. Love the brew, not thrilled with the machine.
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                Please be wary if you choose this brand, I had a Breville espresso machine that short circuited, it was two and a half years old and well maintained. I rang Breville who organised for me to take the machine to a nearby repairer. The repairer soon contacted me to tell me that there was a leaky seal and that it was a manufacturing fault rather than a ware and tear issue.  The cost to repair would be $320.<br/>This would turn out to be the second repair to this machine, the first repair cost me $164. I rang Breville to see if there was any chance they would replace the machine or at least cover the cost of the repair especially considering the machine history. I was told the issue would be investigated and I would receive a phone call back in a day or two. After eight days and no phone call, I rang them back. Clearly the issue had not been investigated so the lady that took my call promised me she would follow this up and ring me back the following morning. <br/>To her credit, she rang back and told me that as the machine 12 month warranty had run out it was a ware and tear issue (not what I was told by the repairer) and that none of the cost would be worn by breville, nor would I receive a replacement machine, in other words, as soon as the warranty had run out, they didn't want to know about it! I nearly fell over!!  <br/>Being a business owner myself this is a classic case of poor customer service, I have been a loyal brand (Breville) consumer for a number of years but poor service is something I simply will not tolerate.<br/>Had Breville agreed to help me this review would be favourable rather than negative! I remain thoroughly disappointed rather than angry.<br/>Needless to say, I will not be buying this brand again.......
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                Breville will not sell internal parts at all. They will only accept the entire unit back for servicing at a ridiculously high flat rate of &gt;50% of  new unit price.<br/>Shame on them for contributing to landfill junk.
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Do not waste your money! I purchased the Breville milk frother. The first time I used the product it surpassed all expectations, producing an abundant froth more like whipped cream. I was impressed. After 2 months, and having used the milk frother less than 15 times, it stopped working. I had a very expensive appliance to warm milk. I called customer support and was instructed where to return my frother. I received the replacement quickly. I tried it immediately with great results, but alas, after about 2 months, the frother once again produces only warm milk!
            </p>"
5,5 stars: Excellent,"<p class=""review-content__text"">
                Dual boiler machine is fabulous and their grinder excellent. I had a problem with the grinder recently and they replaced it no problems. Love a company that gives a great warranty.
            </p>"
6,1 star: Bad,"<p class=""review-content__text"">
                Bought a breville cafe milk frother in late 2017 from David’s tea for a Christmas gift for myself, because why not treat myself? The insurance cheque had just cleared after the beast (total loss). Anyway, the milk frother stopped working today so I called breville expecting some reasonable troubleshooting tips or perhaps them to offer 30-40% off a new machine since this one was in pristine condition externally but had shhht the bed. Instead, the lady on the phone tells me if I don’t have the receipt there is nothing further they can do. I can pay 99$ for a repair—but that doesn’t give any warranty. It’s on sale at the bay for 129$ with shipping right now. She said based on my machines serial number I could have owned it since 2011. That’s insane. It was likely manufactured then, and in a warehouse, then sitting in a store for a while before I bought it. I lost everything in a fire that devastated my community. Does this “lady” really think I escaped with a milk frother and this is some conspiracy? What is she smoking?!?! I have a variable temperature breville kettle, and a handheld mixer and they’re both breville products. I’ll be selling this garbage and buying smeg, kitchen aid or something else. Never supporting this company again. Total disgust in the workmanship of this product and the employees.
            </p>"
7,5 stars: Excellent,"<p class=""review-content__text"">
                My experience with support was terrific.  I have had a Breville Oracle touch espresso machine for over a year.  Tried to clean the grinder and it was jammed.  I called customer support.  The wait time was said to be long, but they allowed me to leave my number.  Got a return call within 5 minutes, and the woman on the other end was both polite, professional and talked me through the issue within minutes.  She waited on line to be certain the issue was totally resolved.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                Do not buy a Breville food processor. I have the Sous Chef 12. Poor documentation and help online. This unit has a cord of about 12"" long and they say not to use an extension cord. ??? Completely stupid, no other word applies. I've submitted an online email request for help/suppot. If I change my mind about their integrity, I'll let you know.
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                I purchased a Breville BES920XL espresso maker.   The first unit malfunctioned.   It was sent in for repairs.   It then malfunctioned again.  It was sent in for repair.   It malfunctioned again<br/>  It was then replaced with a new unit.   The new unit malfunctioned.   It  was sent in for repair and shipped back to ne on January 31, 2019.  It has now malfunctioned again.   This time I'm told the unit is off warranty,  therefore I will need to pay over $300.00 for the repair, although I have had the unit back only a year.   This espresso machine does make great coffee and has many nice features but the Breville product reliability is terrible.  My problems have all been software related.  The company needs to address this issue.
            </p>"
