,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                Pixma 5750 printer <br/>Simply the worse printer i have ever used<br/>Just endles problems
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                I bought a Canon  Pixma MG5750 inkjet printer for £44  at Currys' in early January 2020.<br/>Really low price, but really low quality. ultra-low quality of plastic used, so hinges snapped after a week. <br/><br/>Currys' gave me a refund without any hassle, and whilst I was there I bought Canon Prima TR7550 for  £60 <br/>Disadvantages-it is a discontinued model<br/>the inks are expensive, even the compatible brands <br/><br/>But, it is well made and performs well, so this gets 5*, as does Currys' staff.
            </p>"
2,1 star: Bad,
3,1 star: Bad,"<p class=""review-content__text"">
                Canon sent me a faulty camera, and were adamant that no replacements or exchanges would be issued as per their terms and conditions. Customer service were rude and unhelpful. I bought direct from Canon as I assumed the item would be guaranteed, genuine, and the company would have great customer service. On top of that, refunds can take up to 30 days from when the item is returned, so I could be out of pocket by over £1000 for a month with no camera to show for it. I was completely wrong. Avoid, buy from somewhere with an exchanges/replacements policy!
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Good luck.  You can't even get ""help"" without them charging you $46/ month.   Asked for help to install software and set up my printer and I can't even ask a question without entering my %$*# card number.  I just bought the printer.  Now I have to pay just to ask an installation question?? are you kidding me!!!??  Will be returning this piece of $%*# product and my business will not be using Canon printers ever again.  This is the worst customer service I have ever experienced.
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                The new Canon Pixima TS8150 which I was forced to buy because my older Canon printer (which was fine) needed something doing to it which the shop I use couldn't do as Canon had discontinued the software to allow them to repair it. (They were very apologetic).Just exactly how environmentally aware and responsible is that?!<br/>So this thing is a complete pain to use, completely un-user friendly, has all sorts of annoying ticks ( Do you want to retract the output tray? every time you turn it off!), the design is rubbish (whoever thought to put the swiveling info screen in a place so you can't see to feed a CD in nor the output tray either), why do I have to register the paper size every time I add paper? etc. etc.... <br/>And don't mention My Image Garden! Compared to the suite of facilities that used to exist, this is double-rubbish. You can only scan in PDF and JPEG and I challenge you to work out how to save an image in JPEG format! Click and Drag? - oh, no, that would be far too easy and obvious!! <br/>The times I have needed Customer Services, I have had no response at all about my enquiries. There doesn't seem to be any Forum for users to get help and aid. At this rate I will need blood pressure tablets any day now!<br/>And incidentally, I also have another Canon printer which I use with a non-Windows or Mac computer. It is a BJC-250. It works perfectly and always has done. Never broken down. I can get the ink for it no problem. It is now about 30years old!!! The Good Old Days. eh?!
            </p>"
6,1 star: Bad,"<p class=""review-content__text"">
                I have has 3 Canon printer... printING is OK....paper feed is cr@p.<br/>First printer had two paper trays - one at the rear &amp; one at the front - the front one NEVER worked.<br/>Second printer - the [only] back paper tray failed after about 1 year. Thanks to someone on Youtube and 1 1cm cube peice of sponge placed aloside the paper tray spring, it carried on for a few more years.<br/>Third printer [Caono TS3100] - Sometimes I would print 1 page but get 5 pages fed through the printer. After 14 months the paper feed started making grinding noises &amp; still getting extra blank sheets when printing. It then started making REALLY NASTY NOISES!!!! - like a washing maching throwing itself around the room. I checked for anything jammed...Nope...nothing...perfectly clear.  Bought another printer by a DIFFERENT manufacturer and the Canon is going in the bin...NEVER again ill i buy a canon...sorry...but why don't you test things??
            </p>"
7,1 star: Bad,"<p class=""review-content__text"">
                Second printer I've had with Canon and both have had issues. my printer was randomly missing out paper to print on which is not great as I need to print off double sided and it means the pages all end up mixed up. Contacted Canon support and was told even though my signal strength was a lot more than I needed I need to switch off my wifi. My wifi hub is not very accessible to me at time and when at the device I said; ""I've switched it off, I'll leave it a minute"" followed by ""OK I'm going to plug it back in."" Heard nothing off the person I was on the phone with. I get back to the printer and the adviser on the phone asks if the wifi is off yet. I couldn't stay calm so I said I had to go. This is the second printer I've had, the reason I had to buy this one is the old one needed one part replacing but Canon don't create that part as a spare part because without that part you can't use the printer/scanner at all. I put in a complain about them not producing the spare part but never heard anything back.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                My partner and I have, for a very long time, been very loyal customers to Canon  photographic equipment to the tune of £2000 so when we needed two printers we naturally went for Canon. <br/><br/>What a mistake!  Both devices recently died simultaneously through error Codes B203 and B200  (death of printer head.)<br/>When I rang to say how disappointed we were, I was told 'It was coincidental and we were lucky it lasted so long.' (Really? 3 years is long?)<br/>When I mentioned the huge number of negative reviews on this issue I was told that I had probably only read a few. They seemed surprised that I had read all 111!<br/>We were  told that one printer was discontinued and that the other might be repaired, but that it would be cheaper to buy a new device. We were also told that it would be difficult to find printers compatible to one of ours and that the only solution would be for us to  buy another PC!<br/>I said 'So we now have to buy one PC and two printers for the sake of a clear design fault on your part?'<br/><br/>Eventually we were offered a 20%  and then 30% voucher towards new printers to be spent in Canon's  online shop. We were not informed that there  was a limit on the kind of printers we could have and when asked they gave us a list of 24 printers (higher end) that were not open to us and therefore would not be able to replace our own higher end printers .<br/>They said that the offer was their standard procedure and they could do no more. When I said that I would therefore walk away and would never recommend Canon, they didn't appear in the least concerned.The only reason why I gave any star at all is the fact that individuals were not actually outright rude and and the fault lies entirely with the company.
            </p>"
9,4 stars: Great,"<p class=""review-content__text"">
                I like it, but it is complicated at the first. Even I use the app. Hope it can be more introduction.
            </p>"
10,4 stars: Great,
11,2 stars: Poor,"<p class=""review-content__text"">
                PIXMA TS5000. I have recently bought a TS5050. Dont make same mistake. Evertyhing about is is hopless , from endless amount of time spend on instalation , over  bad UI, SW not working, SW not able to recognise the printer, slow response times. All in all an experience similar to the once we had in the early 90th when IT was still young an inmature.
            </p>"
12,1 star: Bad,"<p class=""review-content__text"">
                Bought a canon isensys with a 3 year warranty - experienced terrible print quality issues after 1 year of normal use - wanted to claim on the warranty and have now been waiting for 11 days to get a decision whether canon will honor the warranty - Canon put us on to an external repair and service  partner who refused to reply and had to be chased - after a week they sent an engineer who merely confirmed what we already know ie there was a problem - he didnt fix it and said that it would need an off site repair and the service engineers would get back to us - we chased the service engineers twice and are being told that they still don't know if it covered by the warranty and we will have to wait!!!!! I have called the Canon CS number  c 8 times and have insisted that I be escalated to a manager who can give me a decision - not ONCE have i been called back. It is now almost 2 weeks sorting this issue out and we are no further forward in getting a repair. When i call canon UK the receptionists tell me that the CEO UK doesnt accept external calls ! They dont have any idea of an individual who is in charge of customer services - its a total frustration getting canon to even speak to us let alone fix our printer !! When working the printer was ok but this customer services organisation is the worst that I have ever experienced - totally unresponsive and unsympathetic to  their customers needs - when a printer goes wrong it needs to be fixed quickly - its an essential tool these days. This is the second isensys that has gone wrong within a year and my fear is the reliability and longevity is just not there. If you are thinking of buying one please remember that you will - at some stage - want to use their service/repair/warranty capability and in our experience it is truly woeful - doesn't even deserve 1 star - buyers beware
            </p>"
13,1 star: Bad,"<p class=""review-content__text"">
                My Canon MX922 is an infuriating, never-functioning, bloatware infested piece of SHAT and I will never but another canon product. Do not make my mistake!
            </p>"
14,5 stars: Excellent,"<p class=""review-content__text"">
                Right, let me first of all say that my experience with Canon UK (and by that I mean the official store!) was utterly faultless. <br/><br/>I made an order for a lens on a Thursday at 11am and recieved order confirmation immediately. <br/><br/>On Monday morning recieved an email from UPS saying delivery would be by the end of that day - the lens was delivered at 12pm midday.<br/><br/>I have to question whether or not these reviews are real, yes I know there are too many to be fake but why is this review page STILL unclaimed by Canon? Why have they not replied or responded to any of these reviews? <br/><br/>Please understand that Canon are of course not perfect, but they ARE a huge huge company selling fantastic cameras and lenses so you should of course be confident and relaxed when making a purchase.
            </p>"
15,1 star: Bad,"<p class=""review-content__text"">
                I have had problems with my pro-100s for months which the customer service advisor couldn't fix and which I was sent to 2nd their customer services for. I sent a detailed email with screenshots of settings and prints not matching etc. and had nothing back. I sent the emails again from a trusted account that I use on a daily basis, but nothing !<br/><br/> When I finally called up again I was told they couldn't help me as my case was already with 2nd tier and I needed to send the email again ! The 2nd tier eventually called my back after a few calls I couldn't get and took me through some settings. I am now out of ink after countless prints that weren't matching in colour and printing the wrong scale on the media selected. In short, I can't test whether my printer is now working as I have no ink left and Canon refused to send me a set of cartridges, despite the appalling service I've had. If you are looking for a printer, I'd stay clear of Canon as I've had countless problems with this printer and terrible service from Canon UK customer services.
            </p>"
16,1 star: Bad,"<p class=""review-content__text"">
                I have had 3 canon printers fail within a year and I print no more than a handful of pages per week and am a home user.<br/>A set of inks are £65 and printer repair quote I had was £89 and then when they got it the upped the repair quote to £120.<br/>These people are just crookes, I think they have shares in land fill sites as they seem determined to fill them with waste.
            </p>"
17,1 star: Bad,"<p class=""review-content__text"">
                by far the worst EVER customer service\tec support I've ever received. <br/>its been 3 and a half hrs and the phone hung on me 5 times
            </p>"
18,1 star: Bad,"<p class=""review-content__text"">
                Be very careful if you choose to do a Firmware update!<br/><br/>I opted to update the firmware on my canon camera, exactly as all of these manufacturers recommend you to do.<br/><br/>I followed the instructions exactly, to the letter.  Well it totally bricked my camera.  The only option was for it to go back to Canon and unbelievably they ended up replacing the main board in the camera.  They wanted to take no responsibility for it at all and kept repeating that you update at your own risk and sign disclaimer when downloading the software.  Well Canon, your software is NOT FIT FOR PURPOSE if it is capable of destroying a cameras main board!!<br/>They charged me almost £200 to fix the camera and that was after me arguing my case and being offered a discount.<br/><br/>After spending thousands on Canon equipment, this has left a very sour taste.  I can assure you it will be the last Canon purchase if that's how you treat customers.  It's the tone of arrogance that you get from the staff that really annoyed me.  That 'not our problem' type of response when you ask them for help.  Very poor service from a brand I had trusted for years.
            </p>"
19,1 star: Bad,"<p class=""review-content__text"">
                The worst 'shopping' experience and customer service experience I have had in my entire life. I bought a new camera for work, Canon took my money, the item didn't arrive. They told me apparently it MIGHT have gotten lost and that I have to wait for 'an investigation'. This might mean the item MIGHT arrive 4 weeks after Canon took my money - MAYBE. I would NEVER have bought the item if I knew it would arrive almost a month later! I would have gone to Amazon. I bought this for work and every day is costing me. Canon basically just shrug, oh well. No refund. No explanation. No support.
            </p>"
20,1 star: Bad,"<p class=""review-content__text"">
                90 minutes on hold and still no representative...zero stars if I could<br/>Use to be top notch<br/>WHAT HAPPENED <br/>Good way to lose loyal customers<br/>ARE YOU LISTENING CANON
            </p>"
21,1 star: Bad,"<p class=""review-content__text"">
                Absolute garbage. Has an issue connecting my canon eos rebel t6i to my computer. I tried everything. Tried calling the canon customer support only to be hung up on by the machine I didn't even get a real person on the line. Legitimate trash, terrible customer service, doesn't care about customers, outdated software that never works and extremely overpriced cameras that wont even connect to my computer or smart phone and does nothing to help customers.
            </p>"
22,1 star: Bad,"<p class=""review-content__text"">
                Well Thank You Canon! <br/>Like most Mac owners I am now running their latest operating system - Catalina. Apart from a few hiccups, it's great. <br/>HOWEVER - on trying to update drivers for my printer I am very kindly advised by Canon that my Pixma MG6250 printer does not support Apple Catalina OS - but I can pick another printer from their range to purchase! My printer is not old, is in excellent condition and works - or did work - fine.<br/>So thank you very much Canon - I won't be buying anything from you again!
            </p>"
23,1 star: Bad,"<p class=""review-content__text"">
                Why must I suddenly have a customer account. I don't trust Canon with any of my information! They can't even get a printer to work correctly. Why would I want to give them information that I am sure they can't keep secure? Phone hangs up on you if you don't have an account and you can't get any help. Bad move Canon but that seems normal for you.
            </p>"
