,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                Only gave 1 star because there is nothing any lower!!! Bought a house printer and signed up for instant ink....1 week later ink runs out and the shipment that was sent 22 days ago(?) according to my account still has not arrived at my home! Took over a week to get to actually speak to someone on the phone to be told that nobody is qualified there to speak to me regarding my query and that someone would call me back in 48 working hours..??? It is 16.29 on Friday afternoon which puts me on to Tuesday next week...I have had use of the printer for 1 week of the month that I have owned it for and have suffered the worst customer service that I have ever had the misfortune to try to deal with...(and I have been a Vodafone customer for 10+ yrs at that...!!!) Absolutely RAGING angry with the incompetence and ignorance of the people I have spent a week and a half trying to speak to! I feel sick I’m that angry!!! 🤬🤬🤬
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                In January I bought a basic PC to work from home. HP Pavilion i3 4GB 1TB Desktop PC 318/4033.  It was replacing a trusty old Dell which operated Windows 7 and I was persuaded that I needed to move on.  This PC is described on argos.co.uk as 'powerful' and 'exceeds expectations'. Sadly it is the WORST PC I have ever had. Their support people have performed various remote checks (they say it's all fine) and advised me to do complete reset which I have done. It remains painfully slow.  HP help staff have tried to blame it on Microsoft - ultimately this PC is not capable of operating basic MS office and day to work with documents and websites; I click and there is even a wait before the never ending spinning cursor appears. I have spent hours and hours trying to solve this or just waiting for the machine to respond. I have asked HP to send me a machine that works but - no response. I'm planning to unplug it and go back to the old Dell.
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                Yet again HP excel. They have managed to send the incorrect colour cartridge pack from their store, despite it being ordered from within the printer app itself! E mail produced referral to telophone line which is unobtainable due to volumes Covid 19 traffic.<br/>HP store out of stock of product. Obtained by return (genuine product) from 3rd party supplier.<br/>Due to lack of assistance &amp; communication  I will be taking the financial hit on the original order, but will not be using HP store again under any circumstances,<br/>.
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                I am in the UK and bought an HP Envy Photo printer 6234 at the end of August 2019. I then went on holiday overseas until the 6th November 2019 so I hadn't used it. Since my return in November I have hardly used it as its just a home printer. In March 2020 the cartridges jammed and despite many conversations with HP technical support in India they agreed they needed to replace it. The replacement arrived about a week later and when I opened it I realized it wasn't a new one! When I asked I was told they just send out refurbished models. Surely not correct? When I tried to set it up, it wouldn't connect to my Wi Fi. Again hours spent on the phone to different people at HP in India  all telling me to do the same things that I'd tried with other HP employees whom I'd spoken to. In the end they said they would replace it again.....but not a new one. Yesterday 6th April I spoke with one of their people in Lisbon Portugal who argued with me about the timing on his email for him to call me. Such a rude man. Again saying they would not give me a new printer or refund my money. I said I wanted to contact someone much higher than him and he said that he would email their contact details. This has not happened.
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Purchased a Hewlett Packard printer with a £50 cashback offer. Despite sending every piece of documentation supplied, Receipt and Delivery Note they won't pay. There is nothing more that could be sent. Blatant trickery and wriggling out of an offer. Will be returning for a full refund.
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                Support/ after care is awful! Be Warned.<br/>Last week I purchased for my home a HP Envy Photo 7830 with 3 years support, and also ordered additional cartridges for when the ones that come with it run out. I followed the setup instructions and installed the cartridges. In the screen it said, cartridge missing. I contacted support and followed their instructions which included updating the printer software. Still same problem. I then tried the two spare cartridges I had purchased. Same problem. Spoke with support via WhatsApp, good idea to use WhatsApp you'd think but they take an age to respond and simple diagnostics take hours. Eventually I was told “I see that the copper contacts are completely removed and there is no nozzle part. Please purchase the new cartridges and it should work fine”. By this time, I’d spent five hours trying different things.<br/>Not happy about this as I had two sets of cartridges and had been very careful when installing, but perhaps that was the case. Ordered two more cartridges. Another £30 and guess what same problem. I’m loathed to spend another several hours looking into this, sick of the lack of customer service and just want to return. But told…. I cannot return, I am a consumer and only purchased a week ago and told I could not speak with them on the phone. Also, they will never take back three sets of opened cartridges. They simply don’t care enough to sort the issue; I think the suggestion to order more cartridges was to get rid of me.  <br/>5 hours not happy about a simple printer I wanted for my home.
            </p>"
6,1 star: Bad,"<p class=""review-content__text"">
                HP Reverb VR headset<br/>Despite HP having issues with the first release and ""fixing "" them I can tell you now that this is not the full truth as Ive had 3 of them. the 1st one suffered from MURA where a large percentage of pixels dont display correctly so you get a looking through slightly dirty glass effect. The other 2 were non functioning. Clearly HP are aware of these faults and choose to use the public as their quality control. I did ask if they could actually carry out quality control before they send a replacement , and was told they were ""unable"" to do this ! I asked for a refund instead. What a shame this could have been the best headset on the market if it works and they had not decided to use that dreadful twin cable that feels like your attached by high voltage cable instead of a cord . <br/>They have also disabled writing product reviews leaving mainly good ones for the Reverb.<br/><br/>Well thats the last time I purchase a HP product ,.
            </p>"
7,2 stars: Poor,"<p class=""review-content__text"">
                We purchased a Hewlett packard 2600 all in one printer last June. In general it works okay but the print plan we purchased with it is a sham.  We haven’t had new ink for some time and the company are telling us that this is due to our printer not being connected to the internet.<br/>As Most of our printing relates to attachments to emails etc we know that it is connected. The company insist that it must be our broadband provider that is at fault yet we  have no issues otherwise with the broadband reception and as mentioned all our printing from the internet is fine.<br/>We are now exasperated with HP and have requested a cancellation of the plan. This was on the 9th February and we have heard nothing in response. We sent two reminders and they have gone unanswered also. <br/>As we all know the measure of a good business is the aftersales service and fixing of problems.  What we are experiencing is the exact opposite of this.  <br/>We expect HP to cancel any charges from the cancellation date and perhaps send us some free ink as they haven’t supplied any for months and printing quality is getting very weak.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                How on earth has this company managed to survive with such poor after-sales service is beyond comprehension.<br/><br/>The MS Office software I purchased with my laptop wasn't included in my order. They emailed to say that it was included based on the shipping weight of the package (it wasn't!), effectively accusing me of lying.<br/><br/>They don't work on weekends and are proving impossible to get in touch with to resolve. Avoid HP!! They are bunch of shysters!
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                If I could give no stars I would. Bought a new laptop, microsoft office and 3 year care warranty from them. My order arrived just two days later. All seemed great. Then I opened the package containing my Microsoft Office  to find they had sent me the wrong version. Okay, I thought, simple to sort, I'll just get in touch to let them know and soon have my correct item. <br/>Numerous emails, phone calls to call centres based in Asia and a great deal of frustration later and I still have no resolution to my problem. <br/>I have been taken in circles; free phone customer service no. cuts off after 43 seconds without being answered. The chargeable customer service no. surprise, surprise is answered but the call handlers are in a foreign country, cannot be understood and couldn't understand me. They also had no comprehension of the products or services they were supposed to be helping with.<br/>The email customer service is no better, different person replying to me each time, when they bother to reply at all. They ask for the same information I have already provided and give me the same stock reply that my query will be dealt with as soon as possible. Which it is not!<br/>This company seems to deliberately make it as difficult as possible to get any sort of response from them. They are very quick to take your money though.<br/>If things are this bad just over an incorrect item being sent I really don't want to find out how bad things get if anything were to go wrong with the laptop itself. <br/>That is why I have now exercised my legal right to cancel my order and claim a full refund.<br/>I will NEVER deal with this company again.
            </p>"
