,Rating,Review
0,4 stars: Great,"<p class=""review-content__text"">
                not happy about leaving the old drum for me to dispose of.otherwise everything was good
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                What a joke of a company, 15 days ago my 8 month old washing machine exploded shattering the glass door and ruining a wash load of clothes! They are no help whatsoever,won't send me a new machine despite it clearly been faulty but also don't have the parts to fix it.  Im an essential worker in a care home and can't even wash my clothes will never purchase this brand again.  Im totally demented have no idea how to get this resolved and can't afford to just go buy a new one!
            </p>"
2,5 stars: Excellent,"<p class=""review-content__text"">
                Very quick to arrange appointment and all social distancing rules were met
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                Faulty tumble dryer after 2 months, called first time to report and was told to pull it out and leave to sit for 30 minutes and call back if it didn't work. This was after being on hold for 38 minutes just to speak to someone. <br/><br/>... It didn't work. Called a second time and waited 28 minutes to speak to someone, was told to turn it off for 30 minutes to reset it and it would work... This didn't...<br/><br/>Called a third time today, still on hold waiting to speak to someone, currently on hold for 1 hour 8 minutes. Do they really call this customer service?
            </p>"
4,5 stars: Excellent,"<p class=""review-content__text"">
                Fantastic service engineer. Very friendly and very professional. Sorted my washing machine out on first visit.
            </p>"
5,4 stars: Great,"<p class=""review-content__text"">
                Great service, we needed a replacement seal for our fridge during covid. They sent one out it was easy to fit and very quick too.
            </p>"
6,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service. The booking process was easy. I was advised of the time window in which the engineer would arrive. He actually arrived slightly before that window but that was not an issue. He worked for over an hour to fix the problem. Left everything clean and tidy and my washing machine working again! All whilst exercising social distancing. Great job! Thank you.
            </p>"
7,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly, quick &amp; efficient.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                I don’t recommend the Hoover  wash and dry washing machine because I bought a new machine and after a week she stop working they send me a engineer he came today he fixed and after one wash stop working again. Please be carful with this machine . I bought from Argos I try Event to call them but they didn’t answer at all and I pay 400£ and now again without a machine
            </p>"
9,5 stars: Excellent,"<p class=""review-content__text"">
                Very prompt service and highly recommended
            </p>"
10,5 stars: Excellent,"<p class=""review-content__text"">
                very good and knowlagable
            </p>"
11,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent customer service, repaired my dryer the next day.
            </p>"
12,5 stars: Excellent,"<p class=""review-content__text"">
                Great service especially due to the current pandemic restrictions, our machine was fixed with a new part a couple of days after contacting
            </p>"
13,5 stars: Excellent,"<p class=""review-content__text"">
                brilliant service, fast and efficient.
            </p>"
14,5 stars: Excellent,"<p class=""review-content__text"">
                Safety for all was the overriding priority for all in these times.  Really glad they are all still working.<br/>Stay safe and thank you.
            </p>"
15,5 stars: Excellent,"<p class=""review-content__text"">
                The engineer arrived on time,  he was very professional the two meters was observed while he fixed my washing machine. He explained to me what was wrong, what he is doing to fix it. I was very pleased with his work.
            </p>"
16,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service despite covid circumstances. Telephone advisor was so helpful and reassuring and the washing machine engineer came prepared with his PPE mask and fresh new gloves for each visit, 2m apart and kindly advised me to wipe down any surfaces after he left. The engineer also called me beforehand his arrival advising indicated time and discussed potential issues and what he could realistically fix with his spare parts. He also fixed the washer in seconds.<br/>Only slight improvement I would suggest from Hoover would be receiving 2hour time slot text for engineer I was expecting that never arrived, but given current circumstances that's understandable and after a quick call to Hoover they were able tell me a rough estimate.
            </p>"
17,5 stars: Excellent,"<p class=""review-content__text"">
                The service was first class from start to finish appointment was made the appliance was rectified job done.
            </p>"
18,5 stars: Excellent,"<p class=""review-content__text"">
                Technician arrived on time,repaired washing machine, happy with service.
            </p>"
19,5 stars: Excellent,"<p class=""review-content__text"">
                Turned up on time. Quickly carried repair and explained to what was wrong. Worn out brushes left the Old ones by machine to allow me to examine. Left area clean and tidy.
            </p>"
20,1 star: Bad,"<p class=""review-content__text"">
                appauling. send out a brand new washing machine that didnt work. after 2 visits they have replaced. told me that washing machine repair men cant fit washing machines which i believe is completely false
            </p>"
21,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service , repair was done so efficiently
            </p>"
22,5 stars: Excellent,"<p class=""review-content__text"">
                The engineer who turned up was very nice and professional had his ppe and dealt with the problem so that's why l give a 5 star rating thanks again.
            </p>"
23,5 stars: Excellent,"<p class=""review-content__text"">
                A guy who repaired my washing machine was polite and after he finish doing what he was doing he tasted it.<br/>👌
            </p>"
24,5 stars: Excellent,"<p class=""review-content__text"">
                the repair man was very quick and precise! good job!
            </p>"
25,4 stars: Great,"<p class=""review-content__text"">
                There was some difficulty getting through on the phone.Other than that first rate service,thank you.
            </p>"
26,5 stars: Excellent,
27,5 stars: Excellent,"<p class=""review-content__text"">
                Really good service, received instructions on social distancing, engineer arrived on time, diagnosed the problem, repaired quickly with a good explanation.<br/><br/>Just sorry we couldn't offer him a cuppa
            </p>"
28,1 star: Bad,"<p class=""review-content__text"">
                Was delivered a broken machine, have had no response to numerous emails phone calls really really bad customer service.
            </p>"
29,5 stars: Excellent,"<p class=""review-content__text"">
                Knowledgeable, efficient and friendly! What more could you want.
            </p>"
30,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly engineer, knew his stuff, sorted the problem.
            </p>"
31,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent quick service, sorted my problem within 2 hours
            </p>"
32,5 stars: Excellent,
33,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly, quick and very well manerd thanks
            </p>"
34,5 stars: Excellent,"<p class=""review-content__text"">
                Really pleased, mended my washing machine and left faulty part.
            </p>"
35,4 stars: Great,"<p class=""review-content__text"">
                Very professional and completed repair completed quickly . Although the previous engineer had advised replacement drum would be carried out next time but had not recorded fir the engineers visit this time.
            </p>"
36,5 stars: Excellent,
37,5 stars: Excellent,
38,3 stars: Average,"<p class=""review-content__text"">
                Taken to long for an engineer to come out
            </p>"
39,4 stars: Great,"<p class=""review-content__text"">
                On fixing the washer element I discovered the next day that the heating aspect broke. So the engineer had to return a few days later to fix an issue which was not an original problem and likely caused during the first visit. <br/>Small issue which was promptly dealt with. More than happy with the engineer and service provided during these times.
            </p>"
40,1 star: Bad,"<p class=""review-content__text"">
                appauling. send out a brand new washing machine that didnt work. after 2 visits they have replaced. told me that washing machine repair men cant fit washing machines which i believe is completely false
            </p>"
41,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service , repair was done so efficiently
            </p>"
42,5 stars: Excellent,"<p class=""review-content__text"">
                The engineer who turned up was very nice and professional had his ppe and dealt with the problem so that's why l give a 5 star rating thanks again.
            </p>"
43,5 stars: Excellent,"<p class=""review-content__text"">
                A guy who repaired my washing machine was polite and after he finish doing what he was doing he tasted it.<br/>👌
            </p>"
44,5 stars: Excellent,"<p class=""review-content__text"">
                the repair man was very quick and precise! good job!
            </p>"
45,4 stars: Great,"<p class=""review-content__text"">
                There was some difficulty getting through on the phone.Other than that first rate service,thank you.
            </p>"
46,5 stars: Excellent,
47,5 stars: Excellent,"<p class=""review-content__text"">
                Really good service, received instructions on social distancing, engineer arrived on time, diagnosed the problem, repaired quickly with a good explanation.<br/><br/>Just sorry we couldn't offer him a cuppa
            </p>"
48,1 star: Bad,"<p class=""review-content__text"">
                Was delivered a broken machine, have had no response to numerous emails phone calls really really bad customer service.
            </p>"
49,5 stars: Excellent,"<p class=""review-content__text"">
                Knowledgeable, efficient and friendly! What more could you want.
            </p>"
50,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly engineer, knew his stuff, sorted the problem.
            </p>"
51,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent quick service, sorted my problem within 2 hours
            </p>"
52,5 stars: Excellent,
53,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly, quick and very well manerd thanks
            </p>"
54,5 stars: Excellent,"<p class=""review-content__text"">
                Really pleased, mended my washing machine and left faulty part.
            </p>"
55,4 stars: Great,"<p class=""review-content__text"">
                Very professional and completed repair completed quickly . Although the previous engineer had advised replacement drum would be carried out next time but had not recorded fir the engineers visit this time.
            </p>"
56,5 stars: Excellent,
57,5 stars: Excellent,
58,3 stars: Average,"<p class=""review-content__text"">
                Taken to long for an engineer to come out
            </p>"
59,4 stars: Great,"<p class=""review-content__text"">
                On fixing the washer element I discovered the next day that the heating aspect broke. So the engineer had to return a few days later to fix an issue which was not an original problem and likely caused during the first visit. <br/>Small issue which was promptly dealt with. More than happy with the engineer and service provided during these times.
            </p>"
60,5 stars: Excellent,"<p class=""review-content__text"">
                Engineer arrived on time, was curteous and professional and fitted the new part quickly. Of course would have been better had the motor in a week old washing machine not gone with a bang but no hassle about getting it fixed. Excellent service.
            </p>"
61,5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service well mannered bloke arrived on time
            </p>"
62,5 stars: Excellent,"<p class=""review-content__text"">
                Friendly gentleman. Fixed straight away and sold me some stuff to keep washing machine clean and showed me how to use it.
            </p>"
63,5 stars: Excellent,"<p class=""review-content__text"">
                Really good service, nice guy aswell!
            </p>"
64,5 stars: Excellent,"<p class=""review-content__text"">
                The engineer was was very polite and friendly. He knew what the problem was in no time.  He was very professional and an asset to your company.
            </p>"
