,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                I placed my order on the 26/03/2020 worth 1500 euros a pretty large amount of money which is OUT of my credit card and not being able to be spent my delivery was scheduled for 14/04/2020 which was long but i was patient 2 days before they email me saying it has been delayed to the 18/05/2020 then later they email again saying they can do 10/05/2020 it is now 08/05/2020 and now my order has been cancelled with a refund but no details i have been waiting 2 months now this is shocking NEVER BUY FROM IKEA ONLINE
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                My girlfriend made an online order for us. She drove out to the IKEA Taastrup where we ordered from and was told our order had been cancelled, recreated and cancelled again (I suspect a member of staff didn't fancy picking so many items) my partner asked how this was possible as the only information she had received was an order confirmation and instructions for us to go and collect our order.<br/><br/>She came home empty handed. After chatting to web chat she was instructed to call customer services. Customer services told her after a lengthy call that they had agreed for our order to be picked with the store and we could collect it after the next day. We have a newborn baby and were in the middle of moving so our time is limited and we were counting quite heavily on getting the curtains from our order to help put the baby down to sleep in the dark.<br/><br/>We also specifically chose online picking to avoid crowds (due to the virus) and to save time.<br/><br/>Next it was my turn. I drove again to IKEA early on Sunday morning to collect our order and made sure I arrived early enough (09:40) to be the 2nd car waiting outside the collection point. <br/><br/>IKEA staff came strolling out of the building around 10:15 and began dealing with the first car at least 20 mins after the supposed opening time. When it was my turn I was asked to wait in bay 1. I did so and after 10 minutes I was told very quickly through my car window that I needed to go to the returns section of the store to collect my order, and they had nothing to do with it (even though 10 minutes earlier they took the code customer services gave to my gf for our newly recreated order). At this point I was beginning to get very frustrated, it was weekend and the number of cars in the parking lot indicated there would be a lengthy queue.<br/><br/>The returns section was cordoned off due to the virus and I could see that only 1 or 2 people were being allowed down into the returns section at a time. I explained to the member of staff on the door my situation. This was the only member of staff of the 10 that I, or my partner dealt with who showed any real empathy to my story and situation. He let me go down, avoiding a queue that looked like it would take at least 45 minutes to get through.<br/><br/>Downstairs I spent 30-40 minutes with an angry, uninformative member of staff who made phone call after phone call. Always out of hearing distance for me and who told me multiple times ""it's busy""""you will have to pick your order yourself"" ""I don't know where your order is"". It was quite clear once I was asked to leave the collection point that my order had never been picked.<br/><br/>When you pay for a service you expect it to be delivered and if not at least a satisfactory answer to why what should be a standard business practice of order picking could go so wrong. If you're staff had any proper training then a simple apology, explanation of the error and some form of compensation would have kept me a happy customer. Instead her and others lack of empathy and desire to take responsibility to do this only fuelled my frustration more. I can see now that I am not the only one who has received such a shocking level of service so it is clear IKEAs promise to pick and deliver orders for such a low fee clearly backfired and fatigue set in for staff.<br/><br/>In the end I got a refund for the exact amount of our order, so I could go and pick my order myself and a measly 300 kr compensation for 2 wasted car trips and approx 8 hours of our time split over multiple days wasted not being able to collect the order as intended.<br/><br/>Terrible service execution and even worse service recovery.
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                I placed an order for on 10th May worth over £400. IKEA emailed me on 8th April to tell because they could one item (a plant pot worth £10) was not available, they have refunded my £10 and changed my delivery date to 30th May. What is the sense in that? I checked the item online on the day I received the email about the delayed delivery and the item was actually available for delivery in my postcode. Yet, when I called their customer service, I was told that whoever was responsible for organising my items for delivery could not find the plant pot even if it says that it is available online. This is an absolute disgrace and probably the last time I will be buying any Ikea items!
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                I never rate anything in my life but my experience with Ikea has been truly terrible. They have pretty much shut down. Delivery costs are very costly, customer service straight up is unreachable, shipping continues to get delayed. Month in after the order and I still have no clue where my order is.
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Bag of Dee i C Kays! If you can't offer a service due to Covid 19, then shut the online shop as you have done to the stores. Never shop here again!
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                Placed an order for a chair and they wanted £9.95 for delivery. They gave me a delivery date 16 days from placing the order. The delivery slot was 12 hours and then they did not even deliver  and did not let me know delivery was not happening. No email address to complain to so queued and spent over 75 minutes on their webchat with just the promise of an evoucher to the value of delivery. LOUSY customer service. If i cancelled and reorderd to use evoucher they said item wass not in stock. They are so evasive and are not up front about any of this.
            </p>"
6,3 stars: Average,"<p class=""review-content__text"">
                Finally delivered my product after 3 weeks. Due to Coronavirus there was delay but they kept postponing the delivery date. Finally it is here thanks!
            </p>"
7,1 star: Bad,"<p class=""review-content__text"">
                IKEA has a 10-year warranty on their couch products, and mine fell apart at the 2-year mark. Even with picture proof, they still insist on picking it up to verify the damage for themselves. In a normal world that fine, but during COVID they should make changes to their procedures to honor their own terms and conditions with the customer. They put the onus on the customer to keep the broken furniture until IKEA feels its okay to pick it up. <br/><br/>They don't really care about following their own rules; their customer service agents just makeup stuff and try to placate you with tiny discounts. Do you want your full refund? I hope your able to play the long game.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                Horrible experience using their ""design your wardrobe"" service.<br/><br/>- Had a useful 1st session where we designed the wardrobe. We agreed that we just needed to go home and decide on whether or not to add a drawer, and then we could pay from home that same day. <br/>- Went home and tried to pay - turns out you NEED the IKEA employee to do this. Everything is ready to go, we just aren't allowed to buy.<br/>-  Call them up next day, wait in line for over 50 minutes (all the while being told it's almost your turn and they value your time...). <br/>- Told that we have book another design your wardrobe meeting, you generally have to book well in advance to get one of these. <br/>- In next meeting, we're told that you have to book with your local advisor, otherwise they cannot send you your wares. We have to book yet another meeting. <br/>- We are now told they can't deliver for 12 days and some of the wares won't be available until 5 days from now. Unfortunately these won't be part of the order. Lots of confusion as to how many people we should be to receive the wares, since they apparently wont deliver into your apartment and which warehouses will have then missing pieces stocked at what time.<br/><br/>I strongly encourage everyone to pay a little extra, so you avoid spending weeks getting your actual wares, several trips to the physical store, and not the least - get nicer looking furniture.
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                DO NOT ORDER FROM IKEA DURING THIS PANDEMIC! The order took one month to deliver, but only half arrived. No way to let them know of this within 48 hours, as they require, or any other time: phone customer service down day after day - it just hangs up on you saying they have a large volume of calls.  I totally agree with another reviewer: This is not  bad customer service - it's simply THEFT!
            </p>"
