,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                horrible, i've only used my kitchen aid for like 1 year and only 5 times and it's already smoking when I try to use it. Absolute garbage.
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                Just over 1 year old and parts are failing .. Do not buy KitchenAid
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                Honestly, does any one really rave about Kitchenaide quality.  The only thing amazing with satin black fridge and stove is the look.  The slide in ceramic top stove use is dismal.  Slow heating elements makes it frustrating.  Coming from a coil electric stove this is just disappointing.  Yeah, it is easier to clean ( sort of) but use is frustrating.  Why should one have to wait so long for the element to heat up and get ready.  The touch screen is not easier.  What’s wrong with dials that one can’t reset by accident.  Fridge looks great but space inside is less.  So much is taken up with the water/ice making portion that the vegg and fruit boxes are way too small.  The interior is 80% plastic that won’t last.  The interior temp. Set at 38 freezes stuff on the top shelf.  Go figure. The only appliance of the set of three I spent more than $5000 for that is worthy of praise is the dishwasher.  Definitely will not buy another thing with Kitchenaide written on it.
            </p>"
3,2 stars: Poor,"<p class=""review-content__text"">
                Does anyone know if their Canadian website is legit?<br/><br/>I bought something, it never came, and when I call their customer service it gets me somewhere in Nigeria. I am worried because I did enter my credit card information
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Horrible customer service. I called several times and talk with 4 people to get a replacement for a toaster. Twice I was told that they placed the order but I never got it. I will not call back as I was placed on hold every time for at least one hour.
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                I received my heavy duty KitchenAid mixer for a Christmas present December 2019 I started having problems with it exactly after a year I called and asked what can be done and they said sorry there is no warranty it's only for the first year why pay $600 for a machine when you don't get customer service or a warranty is longer than a year now my mixer is toast and I have to go and buy another one I won't buying KitchenAid again the sad part is I have all the attachments to go with my KitchenAid mixer the pasta maker all that kind of stuff so I'm screwed either way...so if anyone is really thinking about get one DONT BUY ONE...GET SOMETHING ELSE SAVE YOUR MONEY!!!!! Pretty sad KitchenAid does not stand behind their products
            </p>"
6,4 stars: Great,"<p class=""review-content__text"">
                Loses a star simply because the website is so awful. You are encouraged to register your warranty on the KitchenAid website with the lure of free goodies if you do. However, the warranty form - as noted by a previous reviewer - simply crashes out with an error at the end of the process. Bit of a waste of time and doesn't make a good impression. It appears this has been a problem for some time.
            </p>"
7,1 star: Bad,"<p class=""review-content__text"">
                We bought three mixers for company X'mas party draw last December.  However, after we received the order we decided to return two mixers for credit and hoping to get something else.  Then we returned one at the end of Dec and returned the second one in mid-Jan 2020.  As of now, we still have not received any refunds on the credit card after numerous calls to Customer Service and the CS supervisor. I DO NOT RECOMMEND ANY CONSUMERS BUY DIRECT FROM KITCHEN-AID.  IT IS BETTER OFF TO BUY DIRECTLY FROM ANY RETAILERS.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                My wife bought a Kitchenaid Artisan toaster a while ago. We were uanable to register it through the Belgian contact details provided as there was never any answer. Shortly after purchase, the right hand 2 toaster elements stopped working and again we were unable to make contact with Kitchen aid. So we currently have half a working toaster and are unable to contact the manufacturer.
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                I bought a stand up mixer on line with an estimated delivery day of 04/09/20. I also received an email  saying it was shipped. When I didn't receive the order I called KitchenAid and they told me it was ready to ship but the could not tell me ""when it will be actually ship"". I then asked to cancel the order and I was told that they can't because it was ready to be ship, but they don't know when they will ship it. That is ridiculous they lied about the delivery day, they never ship it and now they can't cancel because ""it is ready to ship???"" Worst customer service, They are quick to get your money but they will not fulfill the orders you paid already. That is theft and false advertisement. They also disconnected the order status page so you can't check any progress on the order. Worst company. I will never buy anything from this company again
            </p>"
10,3 stars: Average,"<p class=""review-content__text"">
                The mixer arrived in good condition except the height adjustment was way off. I researched solutions for this and found that there is an adjustment screw and there is a test you can do with a dime which allows you to adjust the bowl height if it needs to be adjusted a minimal amount however mine came from the factory so far out it could not be adjusted so I contacted customer service because I had read that they would walk you through the solutions to fix it and if it could not be fixed they would send you a new one and you would send the defective one back.<br/><br/>Well, after speaking with Alex the customer service guy he instructed me to take a video of the dime test after each adjustment of the screw and attach it to an email he sent me. He was very courteous and I did just that. He also said call or use chat on their website to get back with customer service after sending and the agent would have access to the video and would view it and come up with a solution. I proceeded the next day to go into chat on their website and after finally connecting with an agent was told I would have to call to have the issue resolved.<br/><br/>So Alex was wrong about that. I called customer service and explained my problem and was told there was no attached video so I immediately sent another email which they got. Then this barrage of questions started while she was viewing the video asking if I adjusted the screw and of course it was evident in the video that I had and she thought she saw the dime move at which time I told her it could have been a quarter and not moved so she put me on hold so someone else could take a look at the video and then came back and asked if I had tried other positions with the screw and I said I had tried several positions in the half turn that was all the screw would move and that I had had a mixer that was this same model for several years so I knew what I was talking about. She finally said they would send me a replacement and that I was to send the defective one back.<br/><br/>This was clear cut from the beginning that I had a defective product but the agent had to insult my intelligence before admitting I had a defective mixer. I will most likely avoid Kitchenaid products in the future.<br/><br/>User's recommendation:<br/>If you get a good one out of the box the first time great but if you have to contact customer service prepare to have your intelligence insulted.
            </p>"
11,1 star: Bad,"<p class=""review-content__text"">
                I purchased the most expensive French door refrigerator kitchenmaid had three years ago. After a month I called them to say the ice maker was taking a week and a half to fill the bin. They came out and looked at it and said that's the way it is so I had to go purchase an ice making machine. All off my kitchen appliances are kitchenaid. Four thousand dollars for this product that will not make ice! Don't buy kitchenaid! They will not help you if something goes wrong.
            </p>"
12,1 star: Bad,"<p class=""review-content__text"">
                We bought a KitchenAid fridge, KRFC704FPS, Sept 2019, and it’s not cooling.  This is the second time we’ve called for the same issue.  It’s been two weeks and come to find out, they don’t have the part.  Now I have to wait for it to come in and when it does come in, I have to wait for the technician to schedule an appointment.  They are saying nothing else they can do.  We’ve only had this  fridge for only 6 months brand new.  Just remodeled our kitchen and my appliances are KitchenAid.  This fridge was NOT cheap.  I expected more from KitchenAid.
            </p>"
13,1 star: Bad,"<p class=""review-content__text"">
                Household Mixer model KHM512IC<br/>So cute. My first mixer. I bought it to make my daughter’s second birthday cake last year. Since then, I’ve used it 3 times. It stopped mid-use during the third use. I’m very disappointed. I should have done my due-diligence. I sent Kitchen Aid an email last week and haven’t heard back. It sounds like there is a piece of broken plastic inside.
            </p>"
14,1 star: Bad,"<p class=""review-content__text"">
                Bought the toaster and kettle less than two years ago from Lakeland ‘kettle blew the electrics in the house ‘then a Big Bang from the toaster soon after ‘not worth the money at all ‘load of rubbish
            </p>"
15,1 star: Bad,"<p class=""review-content__text"">
                Full kitchen of KitchenAid top of the line appliances since 2017.  First,  knob broke on double oven.   Today, Seven Sensor Microwave needs to be removed from the wall and taken away from the house for a MAG TUBE replacement.  $$$.$$.  If a 0 star rating were available that’s what this brand would receive from me.   Called the factory for assistance since the appliance is not yet three years old.   Oh well,  tough luck/no luck.
            </p>"
16,1 star: Bad,"<p class=""review-content__text"">
                Bought kitchen aid toaster from John Lewis, am on third replacement in 18 months ,  blows all electrics in house. Customer service don’t listen  that is when you get through to them . Very bad products, how they can claim to be high end !,,<br/>Have hob kettle also , which is dangerous , metal on handle conducts the heat , burns hands if not care full bought matching for new kitchen on retirement , complete waste hard earned money<br/>Would give minus stars if able. Would never buy again
            </p>"
17,1 star: Bad,"<p class=""review-content__text"">
                I purchased an expensive oven and it broke in less  than four years with less than average usage. The customer service is pointless and their contractors seem to have trouble keeping an appointment.  I will never purchase from this company again. Period.
            </p>"
18,1 star: Bad,"<p class=""review-content__text"">
                Worst company ever! Dishwasher almost set on fire and offered me dishwasher pods for my family’s inconvenience. Thanks Laura and Barbara for being the worst employees ever! Never buy from Kitchenaid!
            </p>"
19,1 star: Bad,"<p class=""review-content__text"">
                We purchased a $4000 refrigerator thinking it would be top of the line.  The ice maker broke a few months ago, we called for service and it was temporarily fixed. It broke again and we called for service once again, this time, the service person never showed up.  When I called to see what went on and to reschedule, I was advised that they had tried to call to let me know that no one was available and that I should not have waited for them to show.  The thing is, my cell records all calls answered or not, no call ever came from them.  In fact, I received an email on the day they claim to have called, the email was to confirm the appointment.  The item is not dependable and the customer service is much below what I had expected.
            </p>"
20,1 star: Bad,"<p class=""review-content__text"">
                horrible, i've only used my kitchen aid for like 1 year and only 5 times and it's already smoking when I try to use it. Absolute garbage.
            </p>"
21,1 star: Bad,"<p class=""review-content__text"">
                Just over 1 year old and parts are failing .. Do not buy KitchenAid
            </p>"
22,1 star: Bad,"<p class=""review-content__text"">
                Honestly, does any one really rave about Kitchenaide quality.  The only thing amazing with satin black fridge and stove is the look.  The slide in ceramic top stove use is dismal.  Slow heating elements makes it frustrating.  Coming from a coil electric stove this is just disappointing.  Yeah, it is easier to clean ( sort of) but use is frustrating.  Why should one have to wait so long for the element to heat up and get ready.  The touch screen is not easier.  What’s wrong with dials that one can’t reset by accident.  Fridge looks great but space inside is less.  So much is taken up with the water/ice making portion that the vegg and fruit boxes are way too small.  The interior is 80% plastic that won’t last.  The interior temp. Set at 38 freezes stuff on the top shelf.  Go figure. The only appliance of the set of three I spent more than $5000 for that is worthy of praise is the dishwasher.  Definitely will not buy another thing with Kitchenaide written on it.
            </p>"
23,2 stars: Poor,"<p class=""review-content__text"">
                Does anyone know if their Canadian website is legit?<br/><br/>I bought something, it never came, and when I call their customer service it gets me somewhere in Nigeria. I am worried because I did enter my credit card information
            </p>"
24,1 star: Bad,"<p class=""review-content__text"">
                Horrible customer service. I called several times and talk with 4 people to get a replacement for a toaster. Twice I was told that they placed the order but I never got it. I will not call back as I was placed on hold every time for at least one hour.
            </p>"
25,1 star: Bad,"<p class=""review-content__text"">
                I received my heavy duty KitchenAid mixer for a Christmas present December 2019 I started having problems with it exactly after a year I called and asked what can be done and they said sorry there is no warranty it's only for the first year why pay $600 for a machine when you don't get customer service or a warranty is longer than a year now my mixer is toast and I have to go and buy another one I won't buying KitchenAid again the sad part is I have all the attachments to go with my KitchenAid mixer the pasta maker all that kind of stuff so I'm screwed either way...so if anyone is really thinking about get one DONT BUY ONE...GET SOMETHING ELSE SAVE YOUR MONEY!!!!! Pretty sad KitchenAid does not stand behind their products
            </p>"
26,4 stars: Great,"<p class=""review-content__text"">
                Loses a star simply because the website is so awful. You are encouraged to register your warranty on the KitchenAid website with the lure of free goodies if you do. However, the warranty form - as noted by a previous reviewer - simply crashes out with an error at the end of the process. Bit of a waste of time and doesn't make a good impression. It appears this has been a problem for some time.
            </p>"
27,1 star: Bad,"<p class=""review-content__text"">
                We bought three mixers for company X'mas party draw last December.  However, after we received the order we decided to return two mixers for credit and hoping to get something else.  Then we returned one at the end of Dec and returned the second one in mid-Jan 2020.  As of now, we still have not received any refunds on the credit card after numerous calls to Customer Service and the CS supervisor. I DO NOT RECOMMEND ANY CONSUMERS BUY DIRECT FROM KITCHEN-AID.  IT IS BETTER OFF TO BUY DIRECTLY FROM ANY RETAILERS.
            </p>"
28,1 star: Bad,"<p class=""review-content__text"">
                My wife bought a Kitchenaid Artisan toaster a while ago. We were uanable to register it through the Belgian contact details provided as there was never any answer. Shortly after purchase, the right hand 2 toaster elements stopped working and again we were unable to make contact with Kitchen aid. So we currently have half a working toaster and are unable to contact the manufacturer.
            </p>"
