Brand,Category,Rating,Review
Logitech,Technology,1 star: Bad,"Don’t order from Logitech very poor delivery and support stinks Ordered expensive Logitech webcam shown in stock with next day tracked delivery and paid by with PayPal Automated response said ordered But not paid Checked status over next two days no change ordered not paid and no way to phone for update. Ordered another from a uk supplier delivered next day Contacted Logitech support and requested order to be cancelled which website said I could do. Delivered the following week - cancellation ignored Asked to do a return 5 weeks later received a message “ You may have better luck, tomorrow. And excuses for the late reply. (We are many in the same page..)” This is not what is expected of a global company
    "
Logitech,Technology,1 star: Bad," 
Awful....Useless...Disgusting .......Shall I go on? Dumb enough to order an expensive Mic from this bunch of cowboys. Was told 4-7 days dispatch. It's been nine already and I have heard nothing, no email, no contact..nothing. Rang the most complicated Customer Support line in the world yesterday and was told maximum 24-hour comeback...Guess what? Twenty-seven hours later, no contact and now they are shut for the weekend... AVOID!!!!!!!!!!!!!!
    "
Logitech,Technology,1 star: Bad," 
  Impossible to cancel the order from the website. Very disappointed! Logitech is running their business with a very weird perspective. Time will teach them the lesson.  Avoid supporting this company at all costs. Money has to go to companies that take care of costumers and provides a respectable relationship and even more when difficult time’s arises. Now they show what they really are. Makeup.
    "
Logitech,Technology,4 stars: Great," 
  I order a iPad Air 2 keyboard case for £14.99 it magnetically connects to my ipad and really helps me do my school work and things i enjoy. I would recommend this keyboard case to anyone that has an iPad that cant afford a laptop who does school work. This keyboard is really good for getting work done quickly Battery life is AMAZING
    "
Logitech,Technology,1 star: Bad," 
  Be aware! Bought new gaming mouse, payed over paypal nothing!! Customer support doesnt reply. Avoid at all stakes, can't believe that logitech have a such low quality service. Moving to Razer and Benq companies. Never again!
    "
Logitech,Technology,1 star: Bad," 
  AVOID these cowboys. Tried to buy a webcam direct from Logitech.com. Quickly got an email confirming my order and confirmation from PayPal that they'd taken my money (£99). Then silence. The webcam was in stock when ordered, so a week later I was wondering why it hadn't arrived. So I sent messages to Logitech and to Digital River, their agent. No response. Rang Digital River twice, they apparently could see my order but were, and I quote 'not allowed to get involved in Logitech stuff'. Finally after a long search I found a number for Logitech in the UK and got through to a guy who could help. He told me that my order was at least 2 weeks away from being shipped, and that was not guaranteed. Likely if anything to be longer. I pointed out that I'd ordered the item as in stock and my money had been taken. No explanation. So I've had to cancel my order and buy a different product. Well done Logitech. AVOID these cowboys.
    "
Logitech,Technology,1 star: Bad," 
  if I could give this &lt;1 star I would...I've had nothing but problems and Logitech has continually put me off until the product is no longer under warranty. The keyboard stopped working a few months after I got the product. I contacted them and we were able to get it to work again although intermittently. After continued frustration with the reset process I contacted Logitech, went through the whole list of steps again and cannot get the keyboard to work at all. Now they tell me since I'm no longer under warranty they won't do anything about this. Horrible customer appreciation for a product that costs $80+...do yourself a favor and read all the reviews. You will undoubtedly end up with the same issues.
    "
Logitech,Technology,1 star: Bad," 
  Can I give this a zero star. This is how Logitech customer services respond to a compliant. Ticket no.2911917 raised on the 30th April 2020 I have only had it 2 months and the rubber is peeling off.  All my equipment is Logitech and this has never happened to me before. You pay good money and expect good quality. Lets see what Logitech have to say. Logi_Matt4 hours ago Hi Steve Barnes, Thank you for reaching Logitech! We apologize for not providing a prompt response. It's sad that the mouse is turning out this way on your end. Wear and tear are bound to happen but it should definitely not be getting this issue in just mere 2 months. We recommend you to submit a ticket to our support team for help about the matter. If you have further inquiry, please do not hesitate to reach back to us or contact our support team for direct assistance. Regards, Logi_Matt  Sanjay V (Logi) May 6, 9:00 AM PDT Thank you for your response I sincerely apologize for the delay in getting back to you and apologize for the inconvenience caused to you. May I ask you if you have tried contacting the point of purchase? Once again, thank you for taking the time to write to us. Feel free to reply to this email and I'll get back to you as soon as possible. Thank you for choosing Logitech, have a great day! Please feel free to respond to this email. Thank you, Logitech Support Hi Sanjay Have you actually read the correspondence as it it obvious you have not. Can you please Pass this onto your manager and confirm you have done this please. Can you also please provide me with your complaints department email and a name. When you purchase an item from a so called well renowned company you expect a positive response. Not a negative one.   I have only had the item 3 months and it is falling apart.  Its under your warrantee and you need to honour it. Kind regards Steve Sent from my Samsung Galaxy smartphone.
    "
Logitech,Technology,1 star: Bad," 
  Great Marketing Terrible Products Awful Customer Service Non-Existent Technical Support ---------------------------------------------------------------------------------- I have purchased a total of 3 mouses from Logitech. Yes, 3 mouses! I have spent 300 euros in total. I bought the MX Master 2 for myself and was very happy. So I bought a second 1 for my father as well. After a while, my MX Maters 2 started to act out to a point where it very negatively impacted my work. I tried everything I could. Reinstalling their software multiple times, reinstalling my Mac software, etc. After a while, I got so frustrated with the mouse that I just threw it in the garbage and bought a new one, the MX Master 3. I just received it a couple weeks ago, connected it to my iMac and started working. After about 2 hours of work, the mouse has decided not to work out of nowhere. I have reinstalled the software, restarted my computer and it simply wasn't working. I have contacted their support over the phone, they barely spoke English and then transferred me to a number that wasn't working. Then, I decided to create a ticket through their website. I waited a week just to be told that I should go on their website and look for their FAQ section to resolve my issue. Are you kidding? 1 week to tell me that? I also tried contacting them over Facebook live chat and was told to submit a ticket. It's been over two weeks since I bought my third mouse and it's still not working. No one at Logitech seems to care to help their clients.  Logitech: If I wanted a cheap mouse, I would spend 5 euros on Amazon.
    "
Logitech,Technology,1 star: Bad," 
  Worst customer service ever..... Purchased a keyboard from Logitech.com. 48 hours later there was no confirmation email or acknowledgement of the order yet they'd certainly taken my money! I used their 'findmyorder' system to check for an order associated with my email address but 'No Order Found' was returned to me. Decided to submit an enquiry through the logitech website, received a confirmation email from a random company called Digital River which made no reference to Logitech at all yet the timing seemed coincidental so assumed it must have been them. 48 hours later, still no response. Followed up by replying to the Digital River email only to be told they cannot help me as they are simply a reseller??? Why are you the point of contact for customer service then? I then found another way of contacting Logitech only to be sent to an outsourced offshore support team. They take 3 business days to reply to any message and must not actually read any of my messages so no progress is ever made. After a few days of all this I ordered my keyboard from a different company and received it within 24 hours. I told Logitech not to bother sending the keyboard as i'd purchased elsewhere and they finally agreed to cancel the order. The funds were returned from my card... happy days. or so I thought! Then 2 days later I receive a tracking number for a delivery from Logitech! I check my bank balance and they had re-debited the order! What the? That was over a week ago... now I have two keyboards and no matter what I do am unable to organise a return with Logitech as the support staff continually ignore the request. The returns form on their website also does not work as it says my order number is not found! Literally at a loss of where to turn now... massively disappointed with a company that makes such great products. Sort yourselves out otherwise no quality product will save you.
    "
