<<<<<<< HEAD
Brand,Category,Rating,Review
=======
﻿Brand,Category,Rating,Review
>>>>>>> 7f6070730dbc9e00da40f3da34d9aa6c517a38f7
Apple,Technology,1 star: Bad,"Worst experience after 15 years of being a customer. Looks like my last purchase from them. They doesn't care about customer satisfaction anymore... 4 different assistants telling different things. Just have no words how i disappointed ( sad!
            "
Apple,Technology,1 star: Bad,"
This company is an embarrassment to all facets of human life!
            "
Apple,Technology,1 star: Bad,"What happen to apple.  I have a love hate relationship towrds them. Sadly coustmer support is extremly bad. I dont know if they got lazy or try to downsize cost. But they now pretty much as what google can tell you. Nothing more. I think that steve jobs had been very sad to learn what is happening whit apple.
            "
Apple,Technology,1 star: Bad,"
I had an Iphone 5 that started having troubles this past December 2019.  I finally got a chance to bring it in in January.  I was 5 minutes late for my appoint due to parking.  They cancelled my appoint and said I had to wait a week to schedule another one.  I work 65 miles away, and the only time I could take it in was on weekends.   After enough complaining (remember not more than 5 minutes late) they agreed to fit me in.  Two hours later, right at closing they said it was a bad battery and because they could not remove it, they would give new a refurbished Iphone 5 for just sigh of $60.00.  Well, this refurbish IPhone  lasted 2 months before the screen started getting verticle black and white lines across it and shut off  completely.   I called Apple.  The lady was very nice and agreed that it should have lasted longer than 2 months.  She said Apple would send me a replacement Iphone 5 for free, and that I wouldn't have to leave a credit card.  3 weeks later, the same lady calls me and couldn't be slower saying she made a mistake in writing up the order.   Today (May 7, 2020) I receive an email saying only 2 days left to save the order.  I entered my info and on the next page Ap[ple wanted to charge my credit card for $490.50!    I have a brother and a cousin dying from cancer. and depending on me for help.   I work 65 miles from home.  And these P** leave me hanging for over a month and now want $490.50 from me, for a product they sold me 3 months ago?????????????   Android!
            "
Apple,Technology,1 star: Bad,"
When a company doesn't let you use a phone that you bought outright without their apple id, or their customer rep speaks very poor English, or when they take over a month to send out a password recovery email....well...that tells you everything you need to know about apple customer service. I've never had any such issues with Samsung or any other kind of phone I've used.
            "
Apple,Technology,1 star: Bad,"
I had a trial for Apple TV, and it was for a year.  My nephew accidentally cancelled it on my MacBook Pro.   I tried twice to explain the situation and no assistance was offered.  It was such a degrading experience.  The advisors just shut the chat the window.
            "
Apple,Technology,1 star: Bad,"
I recently decided to change my Apple ID password. More fool me. When I did this, I kept being prompted to change the password multiple times, until I forgot my previous password and was stuck. Naturally with COVID-19 situation and Apple Stores in OZ closed, I could not get immediate help. I had to wait 5 days until I got a message that I could change my Apple ID - which was successful despite their incorrect step-by-step instructions. Since yesterday, I have been prompted to enter my new Apple ID on different devices MULTIPLE times to ensure all apps can be accessed. Just wondering how many times (and days) I have to keep re-entering my password as it is totally tiresome. I also cannot access my older version Apple TV without entering password every time I want to use Apple TV Plus. I so wish I had switched to Android devices last year as Apple is no where near the user friendliness and compatibility I want these days.
            "
Apple,Technology,1 star: Bad,"
<<<<<<< HEAD
I’m using iPhone XS with THREE provider. Nothing works good since October 2019. I’m not sure what causes the issues. It looks like them both are not compatible.  My device doesn’t do essential things most of the time. At my household there are another iPhones, 7 and XS MAX. Only the old 7 on GiffGaff works well. XS MAX struggle as much as XS with THREE. White screen instead web contain. Browsing takes ages and so many times it ends as safari couldn’t open the page. I’m paying £60 a month to having unlimited data. What do I get, frustrations. Can you imagine if you are online banking and your screen goes blank. And lots of other situations when I need to things now. Not when iPhone decides to work.  To help it work everyday numbers of switch off/on, fly mode on/off. Also technical support advice from THREE to clear safari browser history and reset network settings. I feel extremely disappointed. I’ve been happy iPhone user since 2007. Probably not anymore.
=======
Iâ€™m using iPhone XS with THREE provider. Nothing works good since October 2019. Iâ€™m not sure what causes the issues. It looks like them both are not compatible.  My device doesnâ€™t do essential things most of the time. At my household there are another iPhones, 7 and XS MAX. Only the old 7 on GiffGaff works well. XS MAX struggle as much as XS with THREE. White screen instead web contain. Browsing takes ages and so many times it ends as safari couldnâ€™t open the page. Iâ€™m paying Â£60 a month to having unlimited data. What do I get, frustrations. Can you imagine if you are online banking and your screen goes blank. And lots of other situations when I need to things now. Not when iPhone decides to work.  To help it work everyday numbers of switch off/on, fly mode on/off. Also technical support advice from THREE to clear safari browser history and reset network settings. I feel extremely disappointed. Iâ€™ve been happy iPhone user since 2007. Probably not anymore.
>>>>>>> 7f6070730dbc9e00da40f3da34d9aa6c517a38f7
            "
Apple,Technology,1 star: Bad,"I called two different times and got three different answers. First time i called to check on my order, the lady said i had to speak to an order review team. She transferred me... to another representative! He told me nothing was wrong and just to wait. I called back to get one more clear answer, this lady also said to wait. So I waited and my order was cancelled because the funds weren't verified by your representatives that told me to wait! YOUR CUSTOMER SERVICE IS THE REASON I WILL NOT BE BUYING YOUR PRODUCTS. I WILL BUY A DIFFERENT BRAND JUST BECAUSE YOUR SUPPORT SUCKS SWEATY BALLS
            "
