,Rating,Review
0,1 star: Bad,"<p class=""review-content__text"">
                do not buy anything from these robbing company,<br/>i purchased the samsung s20+ from there site , it was faulty after 3 days , i have been trying to get them to fix it, but what a nightmare, i have now sent it back for a replacement, but not heard a thing from them since, i missed out on there free earbuds when the phone is purchased by a few days,<br/>now they brought another free purchase the watch when you purchase the phone, i apparently dont qualify for this too, they are a joke , i am seriously thinking of taking them to a small claims court
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                Beware if anything goes wrong with your product. Refrigerators are NOT built to last. My 5 year and 4 month old American Style Fridge freezer catastrophically failed. Fridges are supposed to last at least 10-20 years. Samsung refused to replace it despite it being marginally over the 5 year mark. There were multiple cracks in the carcass behind the coolant where you cannot see until it is too late. Samsung service was appalling. Says so much about the quality of their fridges, their appreciation for their customers, their acknowledgment that cracking in the carcass at 5 years is not right, and their respect for the environment while violating up to 5 of the UN Sustainable Development goals it claims it fulfills on its website. This huge fridge, with all its plastic will now go to landfill while leaving a customer in the lurch in the middle of a pandemic.
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                I really believe Samsung should win awards for their lies and excuses as to why it’s not covered under the warranty?<br/>This is my second Samsung galaxy phone and I will never use Samsung again,<br/>In October 2019 I up graded from Galaxy s8 to Galaxy note 10 lovely looking phone good features but being glass it is fragile so for this reason from day 1 I put it in a genuine Samsung wallet £45 not cheap and also paid an extra £30 to have a screen protector fitted in store.<br/>In April 2020 whilst using my phone still in mint condition the volume button became unattached and how I found out that Samsung will not honour their warranty.<br/>I phoned customer services to be told “that’s not covered under warranty it’s physical damage” ? As I explained I had researched the problem on line and found it has happened to a few phones so it must be a manufacturing fault? Customer service response “I’ll send a courier to pick it up and the engineer can decide” confident that in mint condition and not having any physical damage it would be repaired? WRONG I got an email saying they had received my device followed by an email saying it’s not covered under warranty and it would cost me £219 to mend the broken screen?<br/>I immediately phoned customer service to question this Stating I have taken photos the courier driver took photos there wasn’t any mark on the phone when it left my house.<br/>Customer service “ I phoned the engineer the screen is cracked top left hand corner so not covered under warranty”<br/>Arguing my case it was fine when the courier driver took it. I was supposedly escalated to customer solutions?<br/>Who informed me it did have a cracked screen And because of this it wasn’t covered under warranty and they would send me pictures showing this today ( never arrived) and contact the courier for his pictures,<br/>A Few days later I phoned to find out what was happening no one knew? Then I received an email to say it didn’t have a cracked screen? What the engineer meant ( after naming crack top left hand corner) was that his words “ The volume button sits on the screen off the phone? So to replace the volume button the full screen will need to be replaced” So they would class this as physical damage and chargeable and their engineers will not make any necessary repairs until payment is received.<br/>Basically you don’t have a warranty with Samsung I urge anyone with a dispute to contact trading standards reading the reviews something needs to be done and hopefully with enough complaints they will look into Samsung warranties
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                I bought a monitor from their online shop. The monitor was not delivered. There has been no refund and their Philippines based customer service centre is hopeless.<br/><br/>Since I can show that my monitor never left the Samsung warehouse and I have nothing to show for my money, I assumed a refund would be straight forward and not involve a claim through PayPal. I was wrong and I have been forced to start a case.<br/><br/>I - along with most reviewers here - regret having dealt with this company. It has been an awful experience.
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Diabolical. I bought 3 Samsung appliances via currys pc world. Fridge freezer has a huge dent. Keep being passed between both companies and issue not solved still... they do not care they just want to rob from people!
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                The worst experience I’ve ever had with a company. They accept no responsibility for the failure of their products. Continued to blame my cable company even though cable company had come out 4, yes I said 4 times to do all they could and problem was not on any of our other 4 TVs. I was very courteous and sent them all documents they asked for proving it was only 3 months old when problem first occurred. Then I get an email stating that they are closing the case! Unbelievable lack of customer care.  STEER CLEAR OF  SAMSUNG.
            </p>"
6,1 star: Bad,"<p class=""review-content__text"">
                rubbish products and ignorant rude customer services , i own five samsung TV's that i will destroy all of them in front of Samsung head office as soon as i can and will buy SONY or LG , no more shitsang .<br/>Samsung you lost a very valuable customer  .
            </p>"
7,1 star: Bad,"<p class=""review-content__text"">
                Samsung is the worst company I have ever worked with. Their customer service is terrible. I usually don't bother writing reviews, and I am usually not one to complain, but Samsung is so terrible that I thought I should warn others against using them. I got a Galaxy A10E (a terrible, terrible phone) through them and it has not worked since I got it. It does not receive text messages, a basic function that should work. I have sent my phone in four times, but each time they have just sent me back my original phone with no fixes, even though they have told me multiple times that they would send me a replacement/my money back. Those in customer service are very poorly trained and depending on the person I have talk to, downright rude. DO NOT USE SAMSUNG!!!!
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                Crap customer service.  Avoid their brands at costs
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                I have ALWAYS sworn by Samsung products and have a house full of them. So of course I decided to order my son a laptop. Due to the virus his senior year has pretty much been a disaster and he just wants it over with. I originally had the laptop going to Texas since thats where he's at. He had the option of coming to Utah and getting his diploma done sooner so that's what we're doing. Laptop won't actually ship for another 2 weeks and they won't allow me to change the shipping address. So the computer will get to Texas the day he leaves to come to Utah and customer service just tells me ""oh well"". Either cancel and reorder (which will take another month) or pay more money to have it sent from Texas to Utah. Your service is horrible and with the way things are right now you would think they could work around that. I was going to order a few more things from them but probably not now. First time buying directly from Samsung. Last time.
            </p>"
